displacement,horsepower,weight,mpg
86,65,2110,46.6
91,67,1850,44.6
90,48,2085,44.3
97,52,2130,44
90,48,2335,43.4
90,48,1985,43.1
98,76,2144,41.5
85,65,2110,40.8
85,70,2070,39.4
79,58,1755,39.1
86,64,1875,39
89,60,1968,38.1
105,63,2125,38
91,67,1965,38
91,67,1995,38
262,85,3015,38
89,62,2050,37.7
91,69,2130,37.3
86,65,2019,37.2
119,92,2434,37
85,65,1975,37
91,68,2025,37
121,67,2950,36.4
98,66,1800,36.1
91,60,1800,36.1
79,58,1825,36
105,74,1980,36
98,70,2125,36
120,88,2160,36
107,75,2205,36
135,84,2370,36
98,80,1915,35.7
81,60,1760,35.1
72,69,1613,35
122,88,2500,35
105,63,2215,34.7
105,70,2150,34.5
98,65,2045,34.4
97,78,2188,34.3
105,70,2200,34.2
86,65,1975,34.1
91,68,1985,34.1
112,88,2395,34
108,70,2245,34
97,67,2145,33.8
107,75,2210,33.7
85,70,1945,33.5
98,83,2075,33.5
151,90,2556,33.5
91,53,1795,33
91,53,1795,33
105,74,2190,33
119,100,2615,32.9
78,52,1985,32.8
168,132,2910,32.7
107,72,2290,32.4
108,75,2350,32.4
97,67,2065,32.3
108,75,2265,32.2
98,70,2120,32.1
71,65,1836,32
83,61,2003,32
85,70,1990,32
91,67,1965,32
144,96,2665,32
135,84,2295,32
89,71,1925,31.9
85,65,2020,31.8
120,74,2635,31.6
98,68,2045,31.5
89,71,1990,31.5
120,75,2542,31.3
71,65,1773,31
79,67,1950,31
76,52,1649,31
79,67,2000,31
112,85,2575,31
91,68,1970,31
119,82,2720,31
105,75,2230,30.9
145,76,3160,30.7
98,63,2051,30.5
97,78,2190,30.5
79,70,2074,30
88,76,2065,30
111,80,2155,30
97,67,1985,30
98,68,2155,30
146,67,3250,30
135,84,2385,30
98,65,2380,29.9
134,90,2711,29.8
89,62,1845,29.8
97,71,1825,29.5
98,68,2135,29.5
68,49,1867,29
98,83,2219,29
97,75,2171,29
90,70,1937,29
85,52,2035,29
90,70,1937,29
97,78,1940,29
135,84,2525,29
173,115,2595,28.8
151,90,2670,28.4
141,80,3230,28.1
140,90,2264,28
116,90,2123,28
97,92,2288,28
98,80,2164,28
90,75,2125,28
107,86,2464,28
97,75,2155,28
151,90,2678,28
112,88,2605,28
120,79,2625,28
156,105,2800,27.9
134,95,2560,27.5
121,80,2670,27.4
119,97,2300,27.2
141,71,3190,27.2
135,84,2490,27.2
97,88,2130,27
97,88,2130,27
97,60,1834,27
97,88,2100,27
101,83,2202,27
112,88,2640,27
151,90,2735,27
151,90,2950,27
140,86,2790,27
173,115,2700,26.8
151,84,2635,26.6
350,105,3725,26.6
140,72,2565,26.5
140,88,2870,26.4
97,46,1835,26
121,113,2234,26
91,70,1955,26
96,69,2189,26
97,46,1950,26
98,90,2265,26
122,80,2451,26
79,67,1963,26
